,index,feature,importance,importance_normalized,cumulative_importance
194,71,"('tank_temperature_caustic', 'std_10')",2350.5773046999325,0.0006705227789197027,0.8103873262575136
195,271,"('tank_concentration_acid', 'median_200')",2346.819383813439,0.0006694507990487434,0.8110567770565624
196,1039,"('supply_flow_*_return_turbidity', 'min', 'caustic')",2339.6559465650016,0.0006674073657862699,0.8117241844223487
197,405,"('supply_pressure', 'max', 'pre_rinse')",2333.3116771855925,0.0006655976073384237,0.8123897820296871
198,923,"('return_flow__return_temperature', 'std', 'caustic')",2327.563329059367,0.0006639578406512835,0.8130537398703385
199,204,"('conductivity', 'sum_200')",2321.0997380728777,0.0006621140446691665,0.8137158539150077
200,273,"('supply_flow', 'max_500')",2320.522703260152,0.0006619494404311401,0.8143778033554389
201,511,"('return_turbidity', 'sum', 'caustic')",2305.523452906453,0.0006576707727996756,0.8150354741282385
202,222,"('tank_level_pre_rinse', 'sum_200')",2300.7155244899864,0.0006562992690775006,0.815691773397316
203,913,"('return_flow__return_temperature', 'min', 'pre_rinse')",2291.1193776835275,0.0006535618840909601,0.816345335281407
204,391,"('supply_flow', 'skew', 'caustic')",2266.014200887434,0.0006464004123635983,0.8169917356937706
205,1059,"('supply_flow_*_return_turbidity', 'median', 'caustic')",2257.898920520514,0.0006440854575086953,0.8176358211512793
206,1043,"('supply_flow_*_return_turbidity', 'max', 'caustic')",2250.102129448844,0.0006418613545168137,0.8182776825057961
207,461,"('return_temperature', 'kurt', 'pre_rinse')",2234.3858635259426,0.0006373781519096098,0.8189150606577057
208,1001,"('supply_flow_*_supply_pressure', 'skew', 'pre_rinse')",2228.4834120074506,0.000635694425879113,0.8195507550835848
209,951,"('return_flow__return_conductivity', 'mean', 'caustic')",2222.7109988507564,0.0006340477944311023,0.8201848028780159
210,384,"('supply_flow', 'sum', 'intermediate_rinse')",2208.8726521129392,0.0006301002847313606,0.8208149031627472
211,905,"('object_residue', 'skew', 'pre_rinse')",2194.4363119400778,0.0006259821921628745,0.8214408853549101
212,1156,"('conductivity_*_return_turbidity', 'median', 'intermediate_rinse')",2179.5901750763474,0.0006217472014964596,0.8220626325564065
213,299,"('return_turbidity', 'std_500')",2178.93626253897,0.0006215606672136449,0.8226841932236202
214,34,"('return_flow', 'min_10')",2175.5244892378532,0.0006205874289753896,0.8233047806525956
215,359,"('tank_concentration_acid', 'std_500')",2160.7090757996543,0.0006163612024353978,0.823921141855031
216,213,"('return_flow', 'max_200')",2159.2752067404294,0.0006159521787184258,0.8245370940337494
217,1003,"('supply_flow_*_supply_pressure', 'kurt', 'caustic')",2155.1405135502787,0.000614772721245448,0.8251518667549949
218,274,"('supply_flow', 'min_500')",2144.064490690599,0.000611613188643648,0.8257634799436385
219,552,"('return_flow', 'skew', 'intermediate_rinse')",2143.6280392919693,0.0006114886870567029,0.8263749686306953
220,779,"('tank_temperature_acid', 'kurt', 'caustic')",2133.5147607969625,0.0006086037857233571,0.8269835724164186
221,1123,"('conductivity_*_return_temperature', 'median', 'caustic')",2127.2953978584997,0.0006068296579325928,0.8275904020743512
222,684,"('tank_level_clean_water', 'kurt', 'intermediate_rinse')",2118.224494056066,0.0006042421031166929,0.8281946441774679
223,734,"('tank_temperature_caustic', 'sum', 'acid')",2110.9073857785024,0.0006021548338462383,0.8287967990113142
224,900,"('object_residue', 'median', 'intermediate_rinse')",2078.0862695974515,0.0005927923227792925,0.8293895913340935
225,165,"('tank_temperature_acid', 'max_50')",2074.874366924856,0.0005918760993896843,0.8299814674334832
226,583,"('tank_level_pre_rinse', 'skew', 'caustic')",2066.360428548243,0.0005894474238432885,0.8305709148573265
227,1159,"('conductivity_*_return_turbidity', 'skew', 'caustic')",2058.278181000844,0.0005871418918896858,0.8311580567492162
228,431,"('return_temperature', 'min', 'caustic')",2051.6997493014333,0.0005852653365876319,0.8317433220858038
229,1105,"('conductivity_*_return_temperature', 'min', 'pre_rinse')",2050.9550981777866,0.0005850529183277622,0.8323283750041316
230,1085,"('supply_flow_*_return_temperature', 'std', 'pre_rinse')",2050.841531833147,0.0005850205225325476,0.8329133955266641
231,309,"('tank_level_pre_rinse', 'max_500')",2048.937598776475,0.000584477408940204,0.8334978729356043
232,59,"('tank_level_clean_water', 'std_10')",2032.799072702407,0.0005798737529237797,0.8340777466885281
233,5,"('supply_flow', 'std_10')",2025.4874431619205,0.0005777880465110974,0.8346555347350392
234,324,"('tank_level_acid', 'sum_500')",2019.7313523951036,0.0005761460711678644,0.835231680806207
235,433,"('return_temperature', 'min', 'pre_rinse')",2014.9684471208927,0.0005747874106916445,0.8358064682168986
236,311,"('tank_level_pre_rinse', 'std_500')",2009.8903907714687,0.0005733388506089285,0.8363798070675076
237,527,"('return_flow', 'min', 'caustic')",2009.6179910381284,0.000573261146197416,0.836953068213705
238,531,"('return_flow', 'max', 'caustic')",2005.441600813823,0.0005720697942799721,0.8375251380079849
239,1161,"('conductivity_*_return_turbidity', 'skew', 'pre_rinse')",1964.5504831543963,0.000560405244557949,0.8380855432525428
240,279,"('supply_pressure', 'max_500')",1958.1828902149316,0.0005585888328601664,0.838644132085403
241,457,"('return_temperature', 'skew', 'pre_rinse')",1916.4721997234144,0.0005466904928042532,0.8391908225782072
242,723,"('tank_temperature_caustic', 'max', 'caustic')",1904.7160547693134,0.0005433369494137655,0.839734159527621
243,699,"('tank_temperature_pre_rinse', 'std', 'caustic')",1900.6516039455405,0.0005421775291914697,0.8402763370568125
244,668,"('tank_level_clean_water', 'std', 'intermediate_rinse')",1900.2056457693595,0.0005420503157129014,0.8408183873725253
245,363,"('timestamp', 'count', 'caustic')",1896.425965917566,0.0005409721289063734,0.8413593595014317
246,995,"('supply_flow_*_supply_pressure', 'median', 'caustic')",1896.0781090194491,0.0005408728996772282,0.8419002324011089
247,573,"('tank_level_pre_rinse', 'std', 'pre_rinse')",1895.2533673450262,0.000540637634885758,0.8424408700359947
248,471,"('conductivity', 'mean', 'caustic')",1895.244266562148,0.0005406350388076738,0.8429815050748023
249,987,"('supply_flow_*_supply_pressure', 'std', 'caustic')",1894.7185184607035,0.0005404850645535672,0.8435219901393559
250,1171,"('return_temperature_*_return_turbidity', 'max', 'caustic')",1889.27306556413,0.0005389317013855548,0.8440609218407414
251,371,"('supply_flow', 'max', 'caustic')",1880.699252497159,0.0005364859460589342,0.8445974077868004
252,781,"('tank_temperature_acid', 'kurt', 'pre_rinse')",1866.6346011387327,0.0005324738809826091,0.845129881667783
253,853,"('return_flow__return_turbidity', 'max', 'pre_rinse')",1855.669510827007,0.0005293459928624341,0.8456592276606455
254,839,"('tank_concentration_acid', 'skew', 'caustic')",1855.2819560253613,0.0005292354394583561,0.8461884631001039
255,329,"('tank_level_clean_water', 'std_500')",1852.236031602772,0.0005283665628193576,0.8467168296629233
256,419,"('supply_pressure', 'median', 'caustic')",1847.313453260277,0.000526962354200879,0.8472437920171242
